"PTS","Pos","Club","Group","Year","Value","Value_centered","clas_factor","fitted","sum_p","real_p"
14,1,"libertad",1,2011,18.3,1.975,"SI",0.566369116124871,2.1044449364948,26.9129928896227
7,2,"once caldas",1,2011,16.45,0.125,"SI",0.528948735553358,2.1044449364948,25.1348337217311
6,3,"usm de porres",1,2011,7.95,-8.375,"NO",0.359290210951029,2.1044449364948,17.0729204989069
5,4,"san luis fc",1,2011,22.6,6.275,"NO",0.649836873865542,2.1044449364948,30.8792528897393
13,1,"junior fc",2,2011,37.2,15.975,"SI",0.803879766475308,2.06466755328726,38.9350704521612
10,2,"gremio",2,2011,40.45,19.225,"SI",0.842402883632225,2.06466755328726,40.8008970882984
6,3,"oriente p.",2,2011,2.55,-18.675,"NO",0.194683512875234,2.06466755328726,9.42929105294789
5,4,"leon fc",2,2011,4.7,-16.525,"NO",0.223701390304496,2.06466755328726,10.8347414065925
10,1,"america",3,2011,44.8,4.85,"SI",0.622908795861802,2.11465955610315,29.4566940604702
8,2,"fluminense",3,2011,45.6,5.65,"SI",0.638131981730028,2.11465955610315,30.1765823197548
8,3,"nacional",3,2011,27.2,-12.75,"NO",0.281740828516493,2.11465955610315,13.3232239536316
7,4,"argentinos juniors",3,2011,42.2,2.25,"NO",0.571877949994824,2.11465955610315,27.0434996661434
11,1,"universidad catolica",4,2011,16.33,-8.69,"SI",0.353388251139328,1.78367361497835,19.8123831721095
10,2,"velez sarsfield",4,2011,66.7,41.68,"SI",0.970987325728464,1.78367361497835,54.4375000882798
9,3,"caracas fc",4,2011,4.35,-20.67,"NO",0.170394631191999,1.78367361497835,9.5530163008027
4,4,"union espanola",4,2011,12.7,-12.32,"NO",0.288903406918561,1.78367361497835,16.197100438808
11,1,"cerro porteno",5,2011,11.28,-14.9725,"SI",0.24649380205229,1.77487509255786,13.8879520641115
11,2,"santos fc",5,2011,68.2,41.9475,"SI",0.971596629017635,1.77487509255786,54.7416904486172
9,3,"colo colo",5,2011,18.18,-8.0725,"NO",0.36499835824946,1.77487509255786,20.5647349371184
2,4,"deportivo tachira",5,2011,7.35,-18.9025,"NO",0.191786303238479,1.77487509255786,10.8056225501528
13,1,"sport internacional",6,2011,38.05,26.955,"SI",0.90951154602093,1.9538042909183,46.5508009296802
9,2,"jaguares",6,2011,1.7,-9.395,"SI",0.340341972290057,1.9538042909183,17.4194505494761
